"Title","Author","Abstract","Year"
"Le modèle gravitaire est-il un outil adapté à la modélisation des flux téléphoniques?","Pascal Gillon","Le modèle gravitaire est un des principaux outils utilisés dans l'interaction spatiale pour appréhender les déplacements des personnes ou des biens. A partir de la masse respective des lieux et de la distance les séparant, il permet de reproduire  assez fidèlement la réalité, grâce à l'optimisation de l'exposant de la fonction distance et d'un coefficient pondérant le produit des deux masses (modèle gravitaire simple). Nous nous sommes donc servis de cet outil pour modéliser les flux téléphoniques entre les villes françaises. Il apparaît toutefois qu'il ne tient pas compte de façon explicite des occasions interposées, ni de l'effet de seuil suscité par la tarification (fonction distance continue). Un nouveau modèle a alors été créé prenant en compte l'aspect tarifaire (fonction discrète) ainsi que les occasions interposées et intégrant une notion de fréquence des appels.","1997"
"Diffusion des innovations et fonctionnement des systèmes urbains: comparaison Allemagne de l'Ouest, France","Sophie Baudet-Michel","Quelques travaux de recherche ont montré qu'au cours des dernières décennies et dans un contexte européen de plus en plus prégnant, il y a accentuation de la métropolisation. Par ailleurs, il semble que l'on puisse identifier deux formes principales d'organisation des réseaux urbains nationaux: l'organisation de type parisien, centralisée et très polarisée qui favorise le développement de relations hiérarchiques, d'une part; l'organisation de type rhénan, réticulaire qui favorise le développement multiple de relations transversales entre les villes, d'autre part. Dans ce cadre, on s'est interrogé sur l'évolution des distributions spatiales des services aux entreprises. Sachant que les services aux entreprises font partie d'un cycle d'innovations économiques (le cycle de l'information) qui se diffuse dans les systèmes urbains nationaux depuis quelques décennies, et connaissant la forte tendance de cette activité à adopter une localisation métropolitaine, on pense pouvoir ainsi étudier la double dynamique des villes au niveau national et au niveau européen. Par delà les invariants de la diffusion des innovations, on a posé la question de l'existence d'une relation entre une forme particulière de système urbain et les modalités de la diffusion des innovations économiques.","1997"
"L'effet frontière dans les modèles d'interaction spatiale: les échanges économiques dans l'Europe des quinze depuis 1973","Didier Robert","L'existence de limites entre deux unités spatiales se traduit généralement par une diminution des échanges entre ces espaces: on parle « d'effet frontière ». L'analyse géographique de « l'effet frontière» repose sur la construction de modèles « d'interaction spatiale » qui mettent en valeur la structure des échanges. On peut ainsi déterminer, une fois isolés les effets de la distance et de la taille économique des espaces étudiés, l'existence ou non de cet effet d'appartenance. De plus, il peut être pris en compte directement dnns un modèle « d'interaction géographique » qui définit simultanément le frein de la distance et l'effet frontière. Selon ces méthodes, l'étude des échanges économiques, de 1971 à 1994, entre les quinze pays formant l'actuelle Union européenne, foumit une mesure de l'intégration économique et politique de cet ensemble. On y remarque une structure originale des échanges en début de période, dans laquelle un ensemble de relations privilégiées liant les Iles britanniques et l'Europe du Nord faisait pendant à l'Europe des six. On constate aussi l'originalité de l'évolution de la structure des échanges, ainsi que la disparition progressive et attendue de « l'effet frontière » existant au début des années 70.","1997"
"Infrastructures publiques et localisation des activités","Sylvie Charlot","On s'intéresse aux liens entre dépenses publiques et répartition spatiale des activités. L'accent est mis sur les modèles régionaux de localisation. La première partie est consacrée à la construction d'un modèle d'équilibre régional s'inspirant de celui de Krugman, avec dépenses publiques. Le capital public est produit grâce à un impôt prélevé sur le produit national. Il est réparti de façon exogène entre deux régions. On fait l'hypothèse que le capital public joue sur la productivité des entreprises locales. L'introduction d'un secteur public modifie les conditions d'équilibre. La seconde partie s' intéresse aux conditions d' équilibre de court terme et à la répartition des activités industrielles en fonction de la répartition spatiale du capital public.","1997"
"La réalisation d'une autoroute dynamise-t-elle les territoires traversés et influence-t-elle le comportement des acteurs?","Marie-Agnès Lanneaux","La mise en place de l'Observatoire de l'autoroute A 39 a permis et permettra de mesurer et de comprendre les effets d'une grande infrastructure de transport sur l'organisation et la gestion des territoires traversés. L'objectif de cette communication est de donner les principaux résultats de l'étude réalisée sur trois années ( 1993-1996). Elle montre que la construction d'une autoroute comme l'A 39 entraîne des modifications dans l'organisation et la gestion du territoire. Mais ces changements se différencient en fonction du « territoire récepteur » et des acteurs locaux qui mettent en place des stratégies d'aménagement et de développement. Des lieux particuliers sont privilégiés ; le développement de certaines zones est ainsi indissociable de la volonté et du dynamisme de quelques acteurs.","1997"
"Le rôle de l'espace dans l'histoire d'un territoire d'exception, le Luberon","Cécile Helle","Produit culturel et médiatique, arrière-pays revivifié et colonisé épisodiquement par le Nord, le Luberon fonctionne depuis plus de quarante ans avec une emprise touristique croissante. Tour à tour baptisé « refuge estival pour Parisiens branchés », « annexe du seizième arrondissement» ou «nouvelle Côte d'Azur sans la mer», ce système spatial présente dans son fonctionnement actuel peu de points communs avec le temps où l'on y devenait encore propriétaire pour une bouchée de pain et où les autochtones regardaient d'un air amusé la poignée d'artistes venant investir les vieilles pierres abandonnées par eux-mêmes quelques décennies plus tôt. C'est qu'en près d'un demi-siècle un certain nombre de perturbations productrices de sens et d'identité se sont succédées et ont participé à la mise en désir de ce territoire. Tout au long de ce processus, l'espace du Luberon, par ses propres composantes, s'est affirmé comme un réel acteur de son devenir.","1997"
"Information et décision territoriales: enjeux institutionnels et mutations technologiques. Révision du SDAU de la région urbaine de Grenoble","Grégoire Feyt","La multiplication des SIG au sein des institutions territoriales pose trois problèmes majeurs:  -la nécessaire « systémisation » et « codification» de la (ou des) vision(s) du territoire que les techniciens sont amenés à produire ou manipuler; - le risque que ce mouvement de fond tende à renforcer la «balkanisation » de l'information territoriale au lieu d'être mis à profit pour permettre l'élaboration d'un panorama synthétique et dynamique d'un territoire et de son évolution ; - le traditionnel décalage que l' introduction de nouvelles technologies révèle, au moins dans un premier temps, entre spécialistes (les « analystes» et gestionnaires du territoire) et usagers (élus et citoyens). La communication vise à présenter un projet co-animé par l'Agence d'urbanisme de la région grenobloise, le syndicat mixte pour le schéma directeur et des chercheurs, géographes ou sociologues :considérer l'élaboration du schéma directeur tout à la fois comme un enjeu et une opportunité à même de favoriser la mise en place d'un partenariat institutionnel au plan méthodologique et technique en vue de l'élaboration d'un Système d'lnformation Territoriale durable et fiable au service de la concertation et de la décision territoriale.","1997"
"Comportements d'acteurs et dynamiques territoriales","Cécile Tannier","Notre projet est de concevoir un outil d'aide à la décision en matière d'aménagement urbain, s'appliquant aux stratégies de localisation des entreprises commerciales. Il est basé sur la modélisation des interactions entre des acteurs (décideurs, groupes d'agents socio-économiques) et leur territoire. Deux idées fortes sous-tendent ce projet. La première est que l'espace représente un type d 'acteur particulier, qui agit sur le comportement des agents socio-économiques et qui, en retour, est modifié par eux. La seconde consiste à intégrer le raisonnement des équipes municipales (qui sont les décideurs en matière d'aménagement urbain) dans le modèle, afin d'obtenir un outil réellement utilisable par celles-ci.","1997"
"Mise en place d'une base de données pour le guidage automobile en milieu intra-urbain","Christine Matoux-Lamberts","La banque de données urbaines de l'Atelier parisien d'urbanisme a un important patrimoine de données cartographiques. Outil centralisé et généraliste, il est essentiel qu'il opère un redéploiement vers des outils cartographiques décentralisés, tournés vers l'aide à la décision dans le territoire. Une base «filaire » sur Paris et les trois départements limitrophes concentre l'information sur les voies. Le contenu de la base, les modalités de collecte et de maintenance ainsi que deux applications sont ici abordés: l'utilisation des données pour le guidage cartographique à bord des véhicules et la géocodification.","1997"
"La métrique du paysage: deux indicateurs spécifiques du relief pour l'aménagement de l'espace","Kamal Serrhini","Le paysage intéresse des acteurs de plus en plus nombreux travaillant dans des domaines multiples. En aménagement et urbanisme, la mise en place de nouveaux projets conduit souvent à leur simulation afin d'appréhender la question de l'intégration et de l'impact sur l'espace. L'objet de mon travail de recherche est de développer une méthode pour quantifier les variations d'un paysage. Ces dernières peuvent être dues à des facteurs « naturels » ou anthropiques. Dans le cadre des «Troisièmes rencontres de Théo Quant», nous nous sommes intéressé aux questions de modélisation et d'étude des variations spatiales du relief. Ainsi, nous avons mis au point un modèle permettant, d'une part, de représenter de différentes façons un espace quelconque en trois dimensions et, d'autre part, de simuler la diffusion de personnes par percolation selon certains critères (altitude, chemin le plus court ... ), l'objectif étant de mettre à disposition des acteurs de l'aménagement un outil d'aide à la décision en matière d'approche du paysage.","1997"
"Approche géographique du bruit dans l'espace urbain: l'exemple de Besançon","Hélèné Houot","Élément de qualité de vie encore peu exploré par les géographes, le bruit est cependant un concept intéressant pour eux dans la mesure où il permet le rapprochement du territoire et des réseaux dans leur réflexion sur la ville. Basée sur la définition que donne l'AFNOR de ce concept, notre problématique consiste à rechercher les liens entre la structure physique et fonctionnelle d'un espace urbain et le bruit qui y est produit. De cette idée découle trois pistes de réflexion :  -élaboration d'un modèle des potentiels de gêne selon les situations géographiques et acoustiques couplant système à base de connaissance et système d'infonnation géographique, - analyse des générateurs de bruit et des champs acoustiques détenninés par les principaux types de tissu bâti, -création d'indicateurs (de densité de population notamment} visant à pondérer les potentiels de gêne dans le cadre de l'aménagement de l'espace.","1997"
"La logique tout/partie: fondement scientifique d'un langage des géographes","Georges Nicolas","Périodiquement, les géographes éclatent en spécialisations liées aux évolutions scientifiques et aux fluctuations idéologiques. Consécutivement, cet éclatement entraÎne des tentarives de réunification. En 1978- 1980, au début de la phase actuelle d'éclatement, trois axiomes de la géographie (chorologique, de situation , chronologique) étaient proposés pour remplacer les principes vidaliens unifïcateurs de la géographie. Le mécanisme de base des axiomes, la différenciation /différentiation, était exact, mais la formulation de l'axiome chorologique était circulaire. Celui-ci a été reformulé sous la forme de deux défïnirions chorologiques de l'objet de la géographie servant de fondement à une logique. Cette dernière n' est pas une énième tentative de réumfïcation des géographies mais un point de départ pour créer un langage permettant la communication entre les géographies. Les deux autres axiomes qui renvoient à des principes qui ne sont pas propres aux géographies sont abandonnés.","1999"
"Analyse spatiale et phénomènes géographiques","Jean-François Hangouët","L'expression ""analyse spatiale"" est vague en géographie, mais deux champs de pratiques complémentaires aident à la préciser: il y a, d'une part, l' analyse spatiale exploratoire, qui est, comme l'illustre la chorématique, le questionnement de quelques données géographiques mystérieuses (quel sens ont-elles?}, d'autre part, peut-être moins intentionnelle, quoique la généralisation cartographique en fournisse un exemple intensif, l' analyse spatiale constitutive, ou l'acceptation des données dans leur disposition spatiale (ces signes sont en relation cartographique). L'une et l'autre analyses sont fertiles car le scientifique, géographe ou cartographe, loin de se contenter des données, ressent immédiatement à travers elles ce qu'elles représentent du monde réel, les prend naturellement comme manifestations de phénomènes géographiques. Leur automatisation en revanche est rendue délicate par le fait que les données numériques n'évoquent rien à l'ordinateur et que leur indigence (des traces au lieu de formes, des listes au lieu de répartitions) les éloigne des référents attendus par l'utilisateur. Le sens géographique des données numériques, s' il n'est pas stocké, se laisse cependant rappeler à partir d'elles grâce à l' attitude du chercheur en sciences de l'information géographique, attitude que nous décrivons ici, d' un point de vue d'ordre épistémologique, sous le nom de phénoménologie.","1999"
"Concepts pour la description de bases de données multi-représentation","Christelle Vangenot","L'une des limitations majeures des modèles de données spatiaux actuels est leur pauvreté quant aux possibilités de gérer plusieurs représentations différentes des mêmes objets géographiques selon différents points de vue ou selon différents niveaux de résolution. Dans cet article , nous identifions tout d'abord quels sont les besoins induits par la présence de représentations multiples des mêmes objets puis nous proposons des concepts permettant d'associer plusieurs représentations à un objet, de décrire la validité des associations topologiques, de relier des objets qui se correspondent à différentes résolutions et enfin, de décrire et d'interroger les objets et leurs attributs à des niveaux de résolution sémantique différents.","1999"
"L'approche systémique comme outil de structuration de bases de données spatio-temporelles","Marie-Hélène De Sède, Alexandre Moine","Les territoires regroupent des entités spatio-temporelles dont le fonctionnement repose sur les rapports établis entre différentes catégories d'acteurs. Les différentes bases de données qui les décrivent, rendent cependant peu compte de cette complexité induisant à terme une exploitation partielle d'un pottentiel informationnel cependant très riche. Ainsi, les données territoriales sont souvent réduites à leur seule dimension graphique, la mise en cohérence de bases de données hétérogènes pose des problèmes sémantiques et structurels conséquents, les résultats de leur exploitation sont faiblement pérennisés. Bon nombre des problèmes identifïés trouvent leur origine dans un manque de conceptualisation à l'amont des phases pratiques d'exploitation, lors des étapes de modélisation et de structuration des bases de données.  L'objectif de cette recherche est de proposer une méthodologie de structuration de bases de données spatio-temporelles basée sur: -une approche systémique de la conceptualisation des relations entre entités territoriales et acteurs ; - la proposition d'une structure d'accueil des données générique prenant appui sur l'approche systémique amont et indépendante des applications aval; - un formalisme de modélisation intégrant la dimension spatio-temporelle des entités.","1999"
"MADS ou l'information spatio-temporelle à portée de ses utilisateurs","Christine Parent, Esteban Zimanyi, Pier Donini, Corinne Plazanet, Stefano Spaccapietra, Christelle Vangenot","Malgré les bienfaits reconnus de l'approche conceptuelle pour la modélisation d'applications , les modèles conceptuels spatio-temporels existants ne satisfont pas les besoins des concepteurs. Dans cet article nous présentons brièvement le modèle MADS selon trois axes: concepts structurels, concepts spatiaux, concepts temporels. L'orthogonalité des concepts permet d' obtenir un modèle à la fois simple (puisque ces concepts sont indépendants) et puissant (puisque les concepts peuvent être combinés librement). Le modèle a été implanté et des traductions existent vers d'autres modèles opérationnels.","1999"
"La mesure d'indicateurs locaux considérée comme un ""bootstrap spatial""","Jean-Christophe Foltête","Notre démarche consiste à lier deux techniques sans rapport apparent: bootstrap et indicateurs locaux. Le bootstrap est une méthode de rééchantillonnage destinée à observer la stabilité de toute mesure statistique; les calculs d'indicateurs locaux consistent à itérer un calcul de lien entre variables en sélectionnant successivement le voisinage spatial des unités étudiées. Dans les deux cas, l'analyse ne se fonde plus sur un modèle unique mais sur une grande série de sous-échantillons. Sous cet angle, les indicateurs locaux servent à observer la stabilité spatiale de toute mesure statistique. Nous tentons de montrer leur intérêt par rapport à un modèle global, à travers un exemple précis: la relation entre densité de population et mobilité quotidienne des actifs en Franche-Comté.","1999"
"Du quantitatif au qualitatif, la décision paysagère","Jacques Monnier-Raball","L'expression « décision paysagère » paraît de sens commun. Cependant, elle ne laisse pas d'être équivoque. Elle suggère d'abord que l'on considère l'état actuel d'un contexte donné, sans prendre en compte 1 'évolution plus ou moins rapide du milieu naturel: 1 'on ne saurait donc distraire arbitrairement un instant d'un processus en cours. Ensuite, ladite expression suggère que le paysage trouve en lui-même sa propre fin. Enfin, elle suppose que toute décision à 1 'endroit de 1 'environnement entraîne des conséquences prévisibles, probables, voire certaines, suivant une logique causale, soit un enchaînement de principes et d'effets purement linéaire, sans tenir pour décisif son caractère systémique: toute démarche dans l'espace et dans le temps implique un certain nombre d'aléas ...","1999"
"Système de mise en place d'un sytème d'informations territoriales sur les estuaires: application à l'embouchure de la Seine","Jean-Côme Bourcier","Cette recherche propose la mise en place et l'exploitation opérationnelle d'un système d'information géographique (SIG) spécifique à l'estuaire de la Seine à travers une base de données géographiques plurithématiques. L'objectif est de concevoir un système d'informations territoriales englobant la diversité des aspects environnementaux du milieu estuarien et présentant un caractère méthodologique transposable. Dans le cadre du programme national de recherche sur les zones humides, ce système a démontré son efficacité en améliorant la compréhension de ces zones par croisement pertinent d'informations géographiques.","1999"
"Le projet SIGAUR (Système d'Information Géographique et Accoustique Urbaine): nouvelles perspectives d'analyse spatiale des nuisances sonores","Erwan Quesseveur","Cet article présente un projet de recherche traitant de l'intégration d'une couche d' information de nuisances sonores dans un système d' information géographique. Après un développement sur l'état de la pollution sonore et les moyens au jourd' hui en vigueur pour la combattre, on va montrer les nouvelles perspectives offertes pour  l'analyse spatiale des nuisances sonores. En confrontant l'exposition sonore du territoire à sa vulnérabilité au regard du bruit, on veut proposer un critère de décision spatialisé pour l'aménagement du territoire.  Ce projet résulte d'une collaboration entre le Centre scientifique et technique du bâtiment CSTB) et l'équipe ""système d' information géographique"" de l'Institut de Géographie Alpine (Grenoble).","1999"
"Construire ses cartes: le développement d'outils statistiques interactifs intégrés à un système d'information géographique","Benoît Ogier","Les systèmes d'exploitation des micro-ordinateurs proposent aujourd'hui des intelfaces conviviales. En outre, certains micro systèmes d'information géographique offrent des possibilités intéressantes de développement par l'intermédiaire de << plug ins >> , dans les langages de programmation les plus courants (Pascal, C, Delphi .. .). C'est sur ces bases que nous avons pu compléter les fonctionnalités d' un micro système d'information géographique (requêtes spatiales, calcul d'itinéraire , gestion de données. cartographie ... ), par une série de modules statistiques et graphiques.< br/>                                                                                           Ces outils mettent à la disposition de l'utilisateur toutes les informations statistiques et représentations graphiques nécessaires à une analyse complète des données. En effet, les modules sont liés entre eux, ce qui permet d'aborder une étude sous plusieurs angles simultanément et de comparer les résultats de différentes méthodes. De plus, une mise à jour automatique de la carte s'effectue dès que l'on procède à une mise en classes à l'aide d'un des modules. On est donc en présence d'une complète interactivité système d'information géographique-cartes-statistiques.< br/>   Mais on peut aller plus loin et envisager l'expérimentation d'autres outils graphiques, notamment pour l'exploitation des résultats d'analyses factorielles.","1999"
"Image, apprentissage, appropritation visuelle de l'espace","Robert Borodkine","L'image est un élément-clé qui accompagne la démarche géographique dans ses multiples aspects: paysage lisible, télédétection ou plus largement appréhension spatiale des phénomènes. De ce point de vue , le traitement automatique de l'image présente un intérêt avéré, mais , malgré des atouts indiscutables, il ne rivalise pas encore en tous points avec la vision humaine dont l'adaptativité reste inégalée. Aussi avons-nous entrepris des travaux plaçant l'apprentissage comme terme central de l'analyse d'image. Ils sont conçus comme une confrontation entre approche cybernétique et approche géographique, cette dernière étant basée sur un rapport à l'espace prenant en compte ses dimensions objectale, fonctionnelle, et subjective. Nous avons notamment approfondi les concepts de représentation et de corrélation. Ces recherches débouchent sur un modèle fondé sur les notions d' apprenabilité et d'appropriation perceptive de l'environnement. Ce modèle éclaire d'un jour nouveau les relations que nous entretenons avec l'espace, objet de perception sensible et de structuration mentale, mais aussi la problématique même de la modélisation du système que constitue l'environnement dans son acception la plus globale.","1999"
"La graphe et la graphie de la Terre: un exercice formel pour commémorer le bicentenaire du ""voyage aux Amériques equinoxiales""","Hervé Gazel","Cette communication porte sur la migration de connaissances géographiques écrits vers un support numérique. Une telle migration peut se concevoir comme une hypertextualisation. Elle passe par l'examen de la relation entre le graphe et l'écriture géographique. L'exemple de la classifïcation des climats qui renvoie aux travaux de Humboldt permet de montrer comment la mutation de connaissances géographiques est liée à l'analyse de la relation entre graphe et graphie de la terre.","1999"
"Taxonomie et télédétection: la persistance des noms lors des changements de résolution","Denise Blamont, Marcel Raffy","Les règles régissant les rapports entre nomenclature radiométrique et changement de résolution sont exposées ainsi qu'une méthode d'élaboration d'une taxonomie basse résolution à partir d'une nomenclature haute résolution. Un exemple de cartographie d'une région himalayenne à partir d'images de résolutions différemes illustre cet exposé.","1999"
"Observations de terrain et télédétection (Baie du Roi, Svalbard Nord-Occidental)","Dominique Laffly","Les observations de terrain sont fondamentales en télédétection: selon la finalité de l'étude, la description des paysages observés sera plus ou moins détaillée. Une simple reconnaissance des principaux postes d'occupation du sol demande peu d'indicateurs et ne nécessite pas une localisation à la tachèle près. En revanche, l'analyse du contenu des pixels en vue d'une modélisation statistique s'appuie sur une description thématique détaillée de points localisés très précisément. Dans ce cas les images utilisées doivent être correctement géoréférencées et la localisation sur le terrain se fait à l'aide d'un GPS différentiel. Reste le problème du choix des points à analyser ainsi que celui de l'observation de leur ""contenu"" . Nous présentons dans cet article une méthode qui vise à répondre à ces deux questions. Notre approche est fondée sur la technique du sondage systématique non-aligné. Cette dernière permet de tenir compte à la fois de la luminance des points observés et de leur localisation pour définir le plan d'échantillonnage. Les exemples présentés sont issus d'une étude réalisée sur les sandurs de la presqu'île de Brøgger au Svalbard nord-occidental (images SPOT XSP ).","1999"
"Utilisation et évaluation de la télédétection dans l'étude du développement urbain: exemple de l'agglomération oranaise (Algérie)","Nourredine Benabadji, Abdelkrim Benammar, Abed Bendjelid, Kheira Tabet Aoul","L'objectif de cet article est de voir dans quelle mesure l'analyse d'images satellitaires peut contribuer à l'étude de la croissance urbaine dans notre pays. Nous avons constaté que la ville d'Oran , deuxième ville d'Algérie, présente des zones d'extension privilégiées (à l'est et au sud) ; cependant cette dynamique bien souvent démesurée , s'est faite sans souci préalable de la ""qualité urbaine"". Cette étude comporte deux parties: a) nous commençons par mettre en évidence l'ampleur de cette croissance, souvent non planifiée, et la rapidité de son développement, tout en situant les directions prioritaires. Cet exercice est élaboré sur la hase de classifïcations faites sur deux images satellitaires multispectrales (spot XS 1986, et 1995): b) dans un travail complémentaire, en cours d'élaboration , nous essayons de faire des projections futures quant au devenir de cette frange urbaine et à sa capacité à accueillir des opérations de réaménagement.","1999"
"Paysage d'estives: de la télédétection à la cartographie de synthèse","Muriel Harguindeguy","Dans les Pyrénées les estives sont les pâturages d'altitude. Milieux sensibles, en pleine mutation , convoités et enjeux d'une économie fragile, ils font l'objet d'une attention particulière. Dans cette optique, leur connaissance fine est plus que jamais nécessaire afin de réaliser des diagnostics pastoraux pertinents. Ceux-ci impliquent de disposer de cartes des compositions végétales en relation avec leur valeur pastorale sur de grandes superficies. L'acquisition de cette information peut être facilitée par l'utilisation de la télédétection qui permet de produire des cartes thématiques de l'occupation du sol dans une perspective appliquée (cartes des valeurs pastorales, de la charge animale potentielle .. .).","1999"
"Analyse systématique du paysage visible à partir de photographies au sol: exemple du bassin du Loven Est, Baie du Roi, Svalbard","Madeleine Griselin, Serge Ormaux","Des procédures d'échantillonnage photographique et d'analyse systématique des clichés ont été développées par les géographes bisontins à partir de plusieurs études concernant les milieux tempérés. Le travail présente une adaptation de la méthode à un milieu essentiellement abiotique. Les paysages d'un bassin partiellement englacé du Svalbard (Loven Est) ont fait l'objet, en 1998, de relevés à très grande échelle selon un double échantillonnage spatial et temporel. La structure de la banque d'images et les principes de son exploitation sont ensuite exposés.","1999"
"Concentration spatiale des accidents de la route: méthode d'identification des zones noires basée sur l'autocorrélation spatiale, application et étude de sensibilité","Benoït Flahaut","L'objectif de cette contribution est d'identifier les lieux de concentration spatiale d'accidents de la route sous la forme de :ones noires plutôt que de points noirs. L'application d'une méthode géographique d'analyse basée sur des mesures locales d'autocorrélation spatiale permet de localiser ces zones noires. La pertinence de la méthode est considérée, et une étude de la sensibilité des résultats à différents niveaux de contiguïté et à plusieurs fonctions de pondération est proposée. Les résultats sont également comparés à ceux obtenus par une mérhode statistique de lissage par noyau. L'application de la méthode à quelques routes montre concrètement son adéquarion et son applicabilité au problème de la localisation des zones noires.","1999"
"Diagnostiquer le risque routier par une approche géographique: premières considérations","Florence Huguenin-Richard","L'analyse géographique du risque routier est une approche mineure en accidentologie. Pourtant, la prise en compte de l'espace à travers les notions de proximité, distance, localisation, doit pouvoir mettre à jour des facteurs d'insécurité, notamment des facteurs liés à l'environnement de  l'accident de la route. Actuellement, le développement de hases de données spatiales et leur intégration dans des systèmes d'information géographique sont en augmentation. Or, leur exploitation nécessite l'utilisation de méthodes d'analyse adaptées d'une part, à la nature et à la richesse de l'information et d'autre part, aux problèmes de diagnostic et d'estimation du risque routier.  Notre réflexion, conduite sur le territoire de la communauté urbaine de Lille, porte sur les problèmes d'estimation du risque par des méthodes spatiales: problème d'échelles d'observation du risque et d'agrégation de données, choix des estimateurs du risque, intégration de caractéristiques spatiales comme facteur d'insécurité.","1999"
"Représentation surfacique d'événements ponctuels discrets: comparaison méthodologique à partir de la distribution des accidents de la route dans la communauté urbaine de Lille","Arnaud Banos, Jérome Bolot","L'identification visuelle de structures spatiales à partir d'un semis de points est une tache délicate , pour peu que le nombre d'individus soit élevé. Cet article présente et compare deux méthodes permettant d'améliorer significativement la représentation graphique de données spatiales ponctuelles. La première repose sur un carroyage spatial, tandis que la seconde est basée sur l'estimation d' une fonction de densité de Kernel au sein de fenêtres mobiles. Ces deux méthodes sont appliquées aux accidents de route dans la Communauté urbaine de Lille.","1999"
"Méthode d'identification de concentrations locales d'événements dans un semis de points: application aux accidents de la route","Arnaud Banos, Florence Huguenin-Richard","L'article présente une méthode d'analyse exploratoire d'un semis de points issue de la ""Machine d'Analyse Géographique"" (CAM) de Stan OPENSHAW. Elle permet d' ident(fïer de manière automatisée des concentrations locales significatives d'évènements localisés dans /'espace géographique. À titre d'exemple, la méthode est appliquée aux accidents de la route ayant eu lieu dans la Communauté Urbaine de Lille.","1999"
"Morphologies de réseaux et accessibilité","Cyrille Genre-Grandpierre","Tous nos déplacements sont contraints par la structure des réseaux de transport. Or, par l'inégalité de leurs performances (desserte spatiale, v'itesse de déplacement), ces réseaux tendent à rendre l'espace non homogène et non isotrope , c'est-à-dire non euclidien. La géométrie traditionnelle semble donc de plus en plus inadéquate pour modéliser l'espace tel qu'il est vécu. Aussi, afin de prendre en compte les modifications dans les interrelations entre les lieux qu'induisent les réseaux, nous proposons une analyse de leurs effets, basée sur la géométrie fractale, qui ne postule pas l'homogénéité de l'espace et qui, de ce fait ,fournit une grille de lecture différente. Nous analyserons tout d'abord les conséquences de la structure des réseaux en termes de desserte spatiale, puis nous tenterons de voir comment la qualité d'accessibilité à un semis de sites d'offre de service dépend de la morphologie et des fonctionnalités du réseau qui relie ces sites.","1999"
"Analyse spatiale de l'exode rural à travers la diffusion des patronymes","Sandrine Assalin","Durant près de deux siècles un exode rural massif a affecté les arrière-pays de la moyenne vallée du Rhône et engendré un important flux migratoire des campagnes vers les villes. Les soldes migratoires ont fait l'objet de nombreux travaux, mais les trajectoires suivies par les migrants entre les régions émettrices et réceptrices sont mal connues.  Afin de les reconstituer, les patronymes rares originaires des arrière-pays sont utilisés comme des traceurs permettant de suivre une diffusion sur une longue période. L'information patronymique nécessaire a été recueillie dans les annuaires téléphoniques, et les résultats ont été interprétés à l'aide d'un modèle gravitaire. Il ressort que si la plus grande partie des courants migratoires s'est dirigée vers les grandes villes les plus proches, conformément au modèle, des logiques spatiales particulières sont mises en évidence par l'analyse des résidus au modèle.","1999"
"Contribution théorique à la mesure de l'homogénéité des tissus urbains","Mindjid Maïzia","L'étude s'intéresse à la ville du point de vue du bâti, de sa forme tant planimétrique que volumétrique , de la configuration de son emprise sur le sol, du parcellaire , de l'architecture, etc. Il s'agit de quantifier l'homogénéité morphologique interne qui caractérise tout tissu urbain. La méthode d'analyse proposée s'applique à décomposer la ville en systèmes d'éléments sémanriquement identifiés. L'ensemble de ces systèmes est appelé méta-système et correspond à l'ensemble des couvertures d'un SIG. A travers deux indicateurs, l'écart morphologique et le raux d'irrégularité (différentiel), il est possible de mesurer combien une morphologie est régulière.","1999"
"La résilience d'un système spatial: l'exemple du Comtat","Christine Aschan-Leygonie","Le concept de résilience provient de la physique, puis il a été transféré en écologie. Actuellement le sens donné à la résilience en écologie est la capacité d'un système à intégrer dans son fonctionnement une perturbation sans pour autant changer sa structure qualitative. Le degré de résilience d'un système par rapport à un événement perturbateur ne préjuge en rien du retour à son état antérieur après une perturbation. Elle implique que le système parvient à intégrer la perturbation, voire à en tirer avantage et , ainsi, améliorer son fonctionnement. Il s'agit ici d'un transfert de ce concept en géographie, à travers une étude de cas qui est la dynamique du système spatial du Comtat pendant deux périodes perturbées: les crises agricoles de la deuxième moitié du XIXe siècle et les difficultés économiques récentes. La nouvelle donne européenne a mis, en effet, l'agriculture comtadine en position défavorable ,face à des concurrents plus compétitifs. Afin de mettre en évidence différents critères qui interviennent dans le degré de résilience d'un système spatial, une formalisation qualitative en différentes phases dynamiques a été effectuée.","1999"
